Supercharger,Street Address,City,State,city_state,Zip,Country,Stalls,GPS,Elev,Status,Open Date,Tesla,Thread
"Drummondville, QC",Les Promenades Drummondville 755 boul. Rene-Levesque,Drummondville,QC,Drummondville_QC,J2C 6Y7,Canada,8,"45.899084, -72.51942",84,Open,08-Apr-15,SC,thread
"Tremonton, UT",Hampton Inn 2145 W Main St,Tremonton,UT,Tremonton_UT,84337,USA,6,"41.70995, -112.198576","1,317",Open,01-Apr-15,SC,thread
"Effingham, IL",1200 North Keller Dr,Effingham,IL,Effingham_IL,62401,USA,6,"39.137048, -88.563736",184,Open,28-Mar-15,SC,thread
"Mojave, CA",Anthony's Grill 16940 California 14 Hwy 14,Mojave,CA,Mojave_CA,93501,USA,6,"35.068595, -118.174576",866,Open,27-Mar-15,SC,thread
"Comber, ON",7018 Industrial Dr,Comber,ON,Comber_ON,N0P 1J0,Canada,8,"42.238789, -82.550873",182,Open,25-Mar-15,SC,thread
"Riviera Beach, FL",4651 Dyer Blvd,Riviera Beach,FL,Riviera Beach_FL,33407,USA,8,"26.778172, -80.112944",4,Open,21-Mar-15,SC,thread
"Inyokern, CA",1353 Brown Rd,Inyokern,CA,Inyokern_CA,93527,USA,4,"35.646461, -117.812629",742,Open,20-Mar-15,SC,thread
"Santa Rosa, NM",2516 Historic Rt 66,Santa Rosa,NM,Santa Rosa_NM,88435,USA,6,"34.947013, -104.647997","1,440",Open,13-Mar-15,SC,thread
"Ardmore, OK",322 Holiday Dr,Ardmore,OK,Ardmore_OK,73401,USA,6,"34.179106, -97.165632",259,Open,13-Mar-15,SC,thread
"Weatherford, OK",1301 N Airport Rd by Lucille's Roadhouse,Weatherford,OK,Weatherford_OK,73096,USA,6,"35.53859, -98.66012",485,Open,11-Mar-15,SC,thread
"Council Bluffs, IA",3815 Metro Dr,Council Bluffs,IA,Council Bluffs_IA,51501,USA,8,"41.220005, -95.836123",301,Open,11-Mar-15,SC,thread
"Canmore, AB",1719 Bow Valley Trail,Canmore,AB,Canmore_AB,T1W 1L7,Canada,4,"51.100208, -115.359179","1,320",Open,11-Mar-15,SC,thread
"Salt Lake City, UT",2312 S State St,Salt Lake City,UT,Salt Lake City_UT,84115,USA,10,"40.7209, -111.888395","1,297",Open,06-Mar-15,SC,thread
"Coeur d'Alene, ID",3458 N Fruitland Ln,Coeur d'Alene,ID,Coeur d'Alene_ID,83815,USA,6,"47.708479, -116.794283",685,Open,04-Mar-15,SC,thread
"Charlotte, NC",2720 Mallard Creek Church RD,Charlotte,NC,Charlotte_NC,28262,USA,8,"35.341213, -80.766023",232,Open,25-Feb-15,SC,thread
"Tooele, UT",1568 East Saddleback Blvd,Tooele,UT,Tooele_UT,84074,USA,6,"40.684486, -112.268818","1,290",Open,25-Feb-15,SC,thread
"Rocklin (SC), CA",4361 Granite Drive,Rocklin,CA,Rocklin_CA,95677,USA,8,"38.800537, -121.210485",98,Open,20-Feb-15,SC,thread
"Shamrock, TX",107 East 12th St,Shamrock,TX,Shamrock_TX,79079,USA,6,"35.226765, -100.24836",704,Open,20-Feb-15,SC,thread
"Winnemucca, NV",1985 W. Winnemucca Blvd,Winnemucca,NV,Winnemucca_NV,89445,USA,4,"40.958847, -117.746497","1,308",Open,18-Feb-15,SC,thread
"Independence, MO",18001 Bass Pro Drive,Independence,MO,Independence_MO,64055,USA,6,"39.040814, -94.369265",245,Open,17-Feb-15,SC,thread
"West Springfield, MA",935 Riverdale St,West Springfield,MA,West Springfield_MA,1089,USA,8,"42.130914, -72.621435",17,Open,14-Feb-15,SC,thread
"Manteca, CA",960 Perimeter Dr,Manteca,CA,Manteca_CA,95337,USA,8,"37.782622, -121.228683",9,Open,12-Feb-15,SC,thread
"Utica, NY",50 Auert Ave,Utica,NY,Utica_NY,13501,USA,8,"43.113878, -75.206857",128,Open,11-Feb-15,SC,thread
"Golden, BC",1200 - 12th Street,Golden,BC,Golden_BC,V0A 1H0,Canada,4,"51.31325, -116.974152",802,Open,04-Feb-15,SC,thread
"London, KY",140 Faith Assembly Church Rd,London,KY,London_KY,40741,USA,6,"37.14916, -84.11385",361,Open,04-Feb-15,SC,thread
"Petaluma, CA",401 Kenilworth Dr #1030,Petaluma,CA,Petaluma_CA,94952,USA,10,"38.242693, -122.625049",8,Open,03-Feb-15,SC,thread
"Elko, NV",2755 Mountain City Hwy,Elko,NV,Elko_NV,89801,USA,6,"40.836301, -115.790859","1,574",Open,03-Feb-15,SC,thread
"Lexington, KY",2155 Paul Jones Way,Lexington,KY,Lexington_KY,40509,USA,8,"38.017955, -84.420664",310,Open,30-Jan-15,SC,thread
"Kingston, ON",97 Dalton Ave,Kingston,ON,Kingston_ON,K7K 0C4,Canada,6,"44.267307, -76.503291",90,Open,29-Jan-15,SC,thread
"Barrie, ON",100 Mapleview Dr,Barrie,ON,Barrie_ON,L4N 9H6,Canada,8,"44.341123, -79.678975",293,Open,29-Jan-15,SC,thread
"Lone Pine, CA",701 S. Main St,Lone Pine,CA,Lone Pine_CA,93545,USA,4,"36.60059, -118.061916","1,137",Open,28-Jan-15,SC,thread
"Lovelock, NV",150 Main St,Lovelock,NV,Lovelock_NV,89419,USA,4,"40.179476, -118.472135","1,213",Open,28-Jan-15,SC,thread
"Red Deer, AB",3310 50 Ave,Red Deer,AB,Red Deer_AB,T4N 3X9,Canada,4,"52.251899, -113.814659",878,Open,22-Jan-15,SC,thread
"West Wendover, NV",810 Wendover Blvd,West Wendover,NV,West Wendover_NV,89883,USA,6,"40.738399, -114.058998","1,335",Open,22-Jan-15,SC,thread
"Montreal (SC), QC",5350 Ferrier St,Montreal,QC,Montreal_QC,H4P 1L9,Canada,2,"45.496185, -73.658793",46,Open,22-Jan-15,SC,thread
"Baton Rouge, LA",3535 Perkins Rd,Baton Rouge,LA,Baton Rouge_LA,70808,USA,6,"30.423892, -91.154637",10,Open,22-Jan-15,SC,thread
"Wichita, KS",4760 S. Broadway St.,Wichita,KS,Wichita_KS,67216,USA,6,"37.60878, -97.33314",388,Open,21-Jan-15,SC,thread
"Redondo Beach, CA",2410 Marine Ave,Redondo Beach,CA,Redondo Beach_CA,90278,USA,8,"33.894294, -118.367379",21,Open,20-Jan-15,SC,thread
"Hooksett (north), NH",Interstate 93 N,Hooksett,NH,Hooksett_NH,3106,USA,6,"43.110063, -71.475087",85,Open,20-Jan-15,SC,thread
"Brattleboro, VT",499 Canal St,Brattleboro,VT,Brattleboro_VT,5301,USA,8,"42.838443, -72.565798",129,Open,16-Jan-15,SC,thread
"Grove City, OH",2221 Stringtown Rd,Grove City,OH,Grove City_OH,43123,USA,8,"39.877253, -83.063448",243,Open,16-Jan-15,SC,thread
"Needles, CA",2451 Needles HWY,Needles,CA,Needles_CA,92363,USA,4,"34.850835, -114.624329",157,Open,16-Jan-15,SC,thread
"Hooksett (south), NH",Interstate 93 S,Hooksett,NH,Hooksett_NH,3106,USA,6,"43.109521, -71.477006",85,Open,15-Jan-15,SC,thread
"DeFuniak Springs, FL",10th St and Baldwin Ave,DeFuniak Springs,FL,DeFuniak Springs_FL,32435,USA,5,"30.720702, -86.116677",76,Open,09-Jan-15,SC,thread
"Springfield, IL",3801 South MacArthur Blvd,Springfield,IL,Springfield_IL,62711,USA,8,"39.748868, -89.67119",184,Open,09-Jan-15,SC,thread
"Revelstoke, BC",1925 Laforme Blvd,Revelstoke,BC,Revelstoke_BC,BC V0E,Canada,4,"51.009594, -118.218857",451,Open,30-Dec-14,SC,thread
"Auburn, MA",385 Southbridge St,Auburn,MA,Auburn_MA,1501,USA,8,"42.203608, -71.832516",156,Open,29-Dec-14,SC,thread
"El Centro, CA",3451 S Dogwood Rd,El Centro,CA,El Centro_CA,92243,USA,8,"32.763723, -115.531517",-8,Open,28-Dec-14,SC,thread
"Auburn, AL",1627 Opelika Rd,Auburn,AL,Auburn_AL,,USA,6,"32.625185, -85.446314",222,Open,23-Dec-14,SC,thread
"Kamloops, BC",1290 Trans-Canada Hwy,Kamloops,BC,Kamloops_BC,V2C 6R3,Canada,4,"50.655233, -120.368302",616,Open,23-Dec-14,SC,thread
"Lima, OH",1933 Roschman Ave,Lima,OH,Lima_OH,45804,USA,8,"40.726668, -84.071932",271,Open,23-Dec-14,SC,thread
"Lake Charles, LA",1772 W. Prien Lake Rd,Lake Charles,LA,Lake Charles_LA,70601,USA,6,"30.200741, -93.248171",3,Open,21-Dec-14,SC,thread
